,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20160101,5067,Guajira,201601015067,Alta,Baja,73º26'3.2''W,-0.171947123,0.584781875,-0.475717058,-0.860167891,0.283628426,-0.182801095,-0.822607881,-0.902168826,-1.224071471,-0.845233086,-1.142873048,-0.506750538,-0.99814643,-0.792917456,0.33989337,-0.414048176,-1.184421293,-0.521551862,-0.241007376,0.206630392,0.260609849,-0.326033412,0.486936921,0.232333342,0.149116979,-0.372677636,-1.039870886,-0.914863363,-0.200129053
20160102,5067,Guajira,201601025067,Alta,Baja,73º26'3.2''W,-0.304240809,0.874728948,-0.565690301,-0.375552434,0.446490513,-0.383921855,0.010717179,-0.758948554,-1.249018829,-0.635652937,-0.757508195,-0.52326287,-0.99814643,-0.723967782,0.396714726,0.318134168,-1.198962005,-0.457225341,0.139398291,0.350873606,0.122914483,-0.517689513,0.421485967,0.152172911,0.26244707,0.029164419,-0.745587287,-0.942384366,-0.06859847
20160103,5067,Guajira,201601035067,Alta,Baja,73º26'3.2''W,-0.339822267,0.746813843,-0.458378961,-0.135204699,0.438606027,0.009747439,0.082701639,-0.705984203,-1.241545849,-0.779099478,-0.781454297,-0.516539484,-0.99814643,-0.71337362,0.219705143,0.125067547,-1.199684555,-0.538408837,0.245870532,0.290717442,0.507416206,-0.391097466,0.740404102,0.13274194,0.167833047,0.237684981,-0.404004714,-0.543876097,0.101897199
20160104,5067,Guajira,201601045067,Alta,Baja,73º26'3.2''W,-0.229584081,0.918072096,-0.325399881,-0.110043486,0.468951444,-0.079986542,0.2152069,-0.561159123,-1.242936081,-0.650307694,-0.848026541,-0.520921077,-0.99814643,-0.706112731,0.080656931,0.258992652,-1.201383729,-0.495221971,0.377707498,0.350568339,0.274446344,-0.362860919,0.131287951,-0.11186052,0.054663227,-0.090833042,-0.648560463,-0.54468747,0.117638111
20160105,5067,Guajira,201601055067,Alta,Baja,73º26'3.2''W,-0.308184969,0.817189054,-0.322157087,-0.138336842,0.464600099,-0.411705665,0.199662583,-0.600986408,-1.235001829,-0.521418503,-0.799794115,-0.51683351,-0.99814643,-0.731215255,0.111812618,0.110716618,-1.194471938,-0.452950239,0.381644502,0.240092986,0.233372506,-0.323291347,0.18007489,-0.131028642,-0.073312859,-0.177322706,-0.836909751,-0.718013464,0.046863272
20160111,5067,Guajira,201601115067,Alta,Baja,73º26'3.2''W,-0.249420684,1.273256746,-0.264193127,0.300336494,0.427252416,-0.17966562,0.358309218,-0.567597371,-1.240037366,-0.701752294,-0.876241596,-0.508318148,-0.99814643,-0.75857253,0.185296967,0.033617426,-1.200067946,-0.557710095,0.265748854,-0.173908946,0.128949623,-0.554292558,-0.108829149,-0.2451102,-0.138530185,-0.117164806,-0.548046389,-0.422593519,0.023900231
20160112,5067,Guajira,201601125067,Alta,Baja,73º26'3.2''W,-0.432441606,1.248356963,-0.226544304,-0.173238126,0.521784472,0.096944974,0.068029251,-0.587933638,-1.248679393,-0.877061068,-0.798193553,-0.531411505,-0.99814643,-0.64583947,0.103438596,0.284293202,-1.208481334,-0.539408722,0.0656143,-0.07723849,0.004415348,-0.825354864,0.121073098,0.106758181,0.231185007,0.378185606,-0.285896629,0.026190986,0.340317276
20160113,5067,Guajira,201601135067,Alta,Baja,73º26'3.2''W,-0.654504795,1.318485315,-0.164683235,-0.619678639,0.548274618,0.103086696,-0.253452535,-0.664747237,-1.2466376,-0.790491846,-0.81941179,-0.543133792,-0.99814643,-0.603480868,-0.16619746,0.204936135,-1.205817094,-0.557275265,-0.158887258,-0.306190765,0.013840435,-0.744649428,-0.307184261,-0.235424146,0.242002955,0.249755478,-0.38687188,-0.134096286,0.393065448
20160114,5067,Guajira,201601145067,Alta,Baja,73º26'3.2''W,-0.528273765,0.637149626,-0.516945649,-0.497919935,0.512676396,-0.071020447,-0.070176613,-0.569723833,-1.243436655,-0.815986001,-0.921533106,-0.530439975,-0.99814643,-0.614824736,0.301785784,0.112170634,-1.201559253,-0.549141536,0.146825827,0.007642607,0.07722993,-0.527853275,0.264186129,0.120369354,0.645386032,0.3808286,-0.405298861,-0.312135281,0.033549797
20160115,5067,Guajira,201601155067,Alta,Baja,73º26'3.2''W,-0.493705688,1.105298829,-0.243142101,-0.48400305,0.523888983,0.038539862,0.018481063,-0.622181359,-1.245586148,-0.826723635,-0.718102488,-0.528333033,-0.99814643,-0.650982365,0.036001035,0.348630327,-1.207244369,-0.530144934,0.035019252,-0.376480079,-0.092638125,-0.532855185,-0.017779357,0.007865552,0.194558998,0.189754485,-0.420864297,-0.308964799,0.158038585
20160121,5067,Guajira,201601215067,Alta,Baja,73º26'3.2''W,-0.435058122,1.275662485,-0.439924445,-0.139908282,0.51443403,-0.093808565,0.096158374,-0.626355765,-1.244935282,-0.800842399,-0.722502535,-0.524702781,-0.99814643,-0.701338203,0.35683776,0.173517752,-1.204553428,-0.552710345,0.18103005,-0.053867473,0.242839868,-0.16509736,0.425082345,-0.008937586,0.026470379,-0.487960504,-0.683306534,-0.124688483,0.402643339
20160122,5067,Guajira,201601225067,Alta,Baja,73º26'3.2''W,-0.570660895,0.880668209,-0.569411104,-0.594631403,0.593559624,0.40262208,-0.233379665,-0.644169327,-1.246418996,-0.947785402,-0.764039471,-0.539037358,-0.99814643,-0.576638581,0.423108816,0.62239984,-1.207235329,-0.548259102,0.434077714,0.136905242,0.447859377,-0.129551237,0.675796036,0.183419843,0.425320026,0.378964587,0.013274632,0.173990516,0.371286576
20161221,5071,Guajira,201612215071,Alta,Alta,"73º26'25.7""W",-0.72754916,-0.285553503,-0.605492361,0.390120123,0.908548593,0.720689796,-1.207310104,-0.891135801,0.165401549,-0.357419172,0.658827312,-0.672787211,-0.99814643,0.373745711,0.289558155,0.253614773,0.09038294,-0.578004838,1.035865954,0.264454142,-0.146573442,-0.881644492,0.172663924,0.223844631,-0.323537878,1.003752017,0.807581666,0.741757268,0.907919729
20161223,5071,Guajira,201612235071,Alta,Alta,"73º26'25.7""W",-1.211455534,-0.209700259,-0.02755235,1.749337859,0.89214084,0.946042982,-0.225812238,-0.81042269,0.171404468,0.439860167,1.327554776,-0.640342982,-0.99814643,0.086417566,-0.745453095,-0.292136686,0.097412436,-0.533757425,0.891624128,0.564364561,-0.040681939,-1.248195449,-0.866136805,-0.492436474,-0.560118409,-0.435699673,0.534741816,0.787435001,0.853161898
20161224,5071,Guajira,201612245071,Alta,Alta,"73º26'25.7""W",-0.394117537,0.697450229,-0.454701457,1.512762128,0.89523656,1.266942592,-0.528456114,-0.783699713,0.164733469,0.154303707,0.756305546,-0.650149909,-0.99814643,0.136816758,0.249682172,-0.272343308,0.090888821,-0.573949962,0.901870808,0.576943913,-0.623542322,-2.210150408,-0.960372596,-0.554273968,-0.825733866,-0.730974594,0.314395972,0.753826055,1.146805876
20161225,5071,Guajira,201612255071,Alta,Alta,"73º26'25.7""W",-0.424223466,0.680543566,-0.511202746,0.539311528,0.899685188,0.816422818,-1.55211792,-0.882716474,0.16395517,-0.235775236,0.747905003,-0.64742932,-0.99814643,0.041968373,0.445486206,-0.316450941,0.089548476,-0.57765189,0.536222707,0.380790242,-0.486796117,-1.242405379,-0.208256327,-0.144152505,-0.337482885,-0.660418251,0.25515804,0.392131715,0.780549964
20170103,302143,Guajira,20170103302143,Baja,Baja,"73º26'07.7""W",0.412104181,1.724052094,-0.137212425,0.257480416,0.755264513,-1.11019031,0.312299045,0.100309863,0.179031616,-0.538782986,-0.965921036,-0.503656124,-0.99814643,-0.328374239,0.091173024,-0.381275385,0.102725741,-0.518339211,-0.145344617,-0.086233713,-0.728271458,-0.211945014,0.320594951,0.12906636,-0.546211425,-0.985154333,-1.390140117,-1.543621936,-1.302480763
20170104,302143,Guajira,20170104302143,Baja,Baja,"73º26'07.7""W",0.420727286,1.586421928,0.046798187,0.66755788,0.737878951,-0.595910446,0.410289517,0.265507792,0.194083685,-0.627595603,-0.91160519,-0.495370229,-0.99814643,-0.326598295,-0.14974926,-0.344123153,0.113682479,-0.523435367,-0.424416617,-0.129696865,-1.200841199,-0.792126046,-0.125875322,-0.194661049,-0.862595079,-1.116708022,-1.229399576,-1.18715347,-1.021787415
20170114,302143,Guajira,20170114302143,Baja,Baja,"73º26'07.7""W",0.362952706,0.779126385,1.022881012,-0.018198885,0.662510813,-0.929171597,0.052234575,-0.199632676,0.194822988,-0.741303615,-1.022659,-0.507987505,-0.99814643,-0.644012784,-0.940163385,-0.641632337,0.127715278,-0.190497492,-2.340923259,-3.005510501,-3.574186217,-1.796180739,-1.787837954,-1.503784556,-1.990108304,-2.205776355,-2.595717242,-3.016702996,-3.061578688
20151212,JSC5069,Guajira,20151212JSC5069,Baja,Baja,73º26'8.4''W,-0.235416209,0.627768123,-0.549242991,0.368413082,0.894681466,0.513461064,-0.822199725,-0.692287725,0.164821034,-0.711283458,0.048756171,-0.650609138,-0.99814643,0.012342437,0.584077483,-0.172006658,0.09063568,-0.56153172,1.179804908,0.775665301,0.508285457,-0.005596461,-0.105262177,0.15427078,0.12704057,-0.082347154,0.591143521,0.878233361,0.820941965
20151213,JSC5069,Guajira,20151213JSC5069,Baja,Baja,73º26'8.4''W,-0.167072923,0.626756082,-0.562709764,0.696945874,0.89375568,0.518125339,-0.593108479,-0.666249188,0.159292719,-0.600096701,0.137940666,-0.645730122,-0.99814643,0.19170883,0.691802088,-0.137441406,0.085301562,-0.566555357,1.105475526,0.765496856,0.213801834,-0.344843348,-0.326906705,-0.020500083,0.132498109,-0.632452345,0.391373664,0.586306936,0.599046697
20151214,JSC5069,Guajira,20151214JSC5069,Baja,Baja,73º26'8.4''W,-0.314724794,0.792229806,-0.804175324,0.38095013,0.894674408,0.833478335,-0.859099847,-0.666012035,0.15534937,-0.693371669,-0.011135926,-0.647980635,-0.99814643,0.383684392,0.87919232,-0.082152724,0.081712249,-0.558554896,1.174543005,0.843558721,0.553881398,0.122781817,0.184728317,0.211886304,0.461702482,-0.191100038,0.497036226,0.804141147,0.808008238
20151215,JSC5069,Guajira,20151215JSC5069,Baja,Baja,73º26'8.4''W,-0.284467059,0.902753748,-0.548966349,0.423902364,0.895737683,0.687016564,-0.827401513,-0.691638217,0.15881124,-0.616754626,0.143545593,-0.651897481,-0.99814643,0.415561462,0.595705616,-0.091261019,0.08482273,-0.557635243,1.18649243,0.59827718,0.192504809,-0.258842885,-0.195113351,-0.224342087,-0.146760921,-0.41108812,0.278873224,0.573039883,0.645768865
20151216,JSC5069,Guajira,20151216JSC5069,Baja,Baja,73º26'8.4''W,-0.219151808,1.117311891,-0.290833301,0.783075177,0.892831199,0.832055056,-0.58032962,-0.673303202,0.158593455,-0.419515701,0.09545116,-0.650041187,-0.99814643,0.387681629,0.240014086,-0.185004734,0.085229831,-0.577216891,1.067512642,0.623562484,0.095884116,-0.885755213,-1.118732551,-0.821933994,-0.901228314,-0.631654311,0.255818579,0.713467981,0.683598927
20160101,JSC5069,Guajira,20160101JSC5069,Baja,Baja,73º26'8.4''W,-0.461170598,0.522480446,-0.641012426,-0.131087776,0.903847322,1.096858396,-1.233280604,-0.836419095,0.154087372,-0.633068649,0.190411371,-0.663657249,-0.99814643,0.55725579,0.579605444,0.20465517,0.080422706,-0.578750642,1.118208977,0.950132424,0.290013891,-0.188467798,-0.403582208,0.190726655,-0.134977728,-0.362666381,0.841147153,1.000478369,0.967876762
20160102,JSC5069,Guajira,20160102JSC5069,Baja,Baja,73º26'8.4''W,-0.494832997,0.624681162,-0.539708026,0.137301553,0.903700069,0.970687546,-0.929387154,-0.812546824,0.156575058,-0.577133591,0.260197576,-0.665823076,-0.99814643,0.551101399,0.472531452,0.133786271,0.082723419,-0.571149672,1.173933368,0.707679136,-0.234918984,-0.635573712,-0.671773031,-0.230479071,-0.513142808,-0.119498421,0.830820164,1.03610406,0.985651297
20160103,JSC5069,Guajira,20160103JSC5069,Baja,Baja,73º26'8.4''W,-0.339866992,0.569207572,-0.614261871,0.293840604,0.903181811,0.927404744,-0.907389881,-0.808739956,0.156288318,-0.66101612,0.135740154,-0.663454019,-0.99814643,0.523090797,0.568203444,0.131007775,0.082474821,-0.57246916,1.142246269,0.974398799,0.598877096,-0.543228065,-0.324693943,0.041120356,-0.387774685,0.135187366,1.058978687,1.175312051,0.881381529
20160104,JSC5069,Guajira,20160104JSC5069,Baja,Baja,73º26'8.4''W,-0.202693774,0.652490278,-0.526371059,0.243814436,0.90280871,0.560907916,-0.791187922,-0.800537864,0.155820167,-0.602923402,0.055987953,-0.664187378,-0.99814643,0.504988427,0.465478457,0.163260646,0.082021408,-0.579618092,1.206654937,0.955194677,0.697174908,-0.374894453,-0.169418149,0.263936931,-0.043893014,-0.049120192,0.604703241,0.631865003,0.493109487
20160105,JSC5069,Guajira,20160105JSC5069,Baja,Baja,73º26'8.4''W,-0.307970712,0.579258174,-0.709017789,0.134443263,0.904837483,1.093249399,-0.906467475,-0.819143928,0.158011584,-0.606849945,-0.005192003,-0.664362775,-0.99814643,0.514090909,0.738318451,0.151440289,0.083949237,-0.575165124,1.126975577,0.829648558,0.706816416,0.03380468,0.212157971,0.191705336,0.045894207,0.075612753,0.558280682,0.825150603,0.883766358
20160111,JSC5069,Guajira,20160111JSC5069,Baja,Baja,73º26'8.4''W,-0.537978707,0.357999202,-0.707447234,0.382596753,0.901268238,1.131448214,-0.771395647,-0.772205782,0.160402682,-0.83035791,0.042839695,-0.663213273,-0.99814643,0.505339134,0.666664208,0.053451687,0.086480136,-0.570467587,1.148189862,0.814034117,0.605334734,0.293252513,0.395714413,0.162514499,-0.123578053,0.46702675,1.046319101,1.100859053,0.838088422
20160112,JSC5069,Guajira,20160112JSC5069,Baja,Baja,73º26'8.4''W,-0.708038103,0.617789788,-0.594735992,0.166857832,0.901833488,1.174393518,-0.790834001,-0.799245235,0.157642898,-0.901110302,-0.070867686,-0.668314846,-0.99814643,0.524165045,0.43604438,-0.00045095,0.084227384,-0.576891115,1.096648909,0.848937143,0.645156037,-0.009602671,0.313273308,-0.02291794,0.278291936,0.500352907,1.044936417,1.09635355,0.888408741
20160113,JSC5069,Guajira,20160113JSC5069,Baja,Baja,73º26'8.4''W,-0.747613039,0.589570444,-0.786455644,-0.200301857,0.906180152,1.317390345,-1.163295872,-0.862433329,0.164681863,-0.903373817,-0.00900179,-0.674111023,-0.99814643,0.57802851,0.7577907,0.054367484,0.090329031,-0.560803711,0.818474461,0.810700322,0.564302231,0.101516177,0.301942523,-0.110546021,0.646156448,0.732676076,1.0201376,1.104519662,1.008948464
20160114,JSC5069,Guajira,20160114JSC5069,Baja,Baja,73º26'8.4''W,-0.600034091,0.287431887,-0.794811179,-0.114846025,0.907541312,1.178060402,-0.767937191,-0.864262506,0.164901402,-0.820176594,-0.057802606,-0.669897099,-0.99814643,0.511488961,0.765812085,0.081878184,0.090344845,-0.574656543,1.033002515,0.934080922,0.743858559,0.176237328,0.277376438,0.144225583,0.517301214,0.904758327,1.106136474,1.099755026,0.876940523
20160115,JSC5069,Guajira,20160115JSC5069,Baja,Baja,73º26'8.4''W,-0.699318469,0.156700233,-0.792167005,-0.052229833,0.907673896,1.169904491,-1.129970349,-0.863983899,0.167807813,-0.823370887,0.173770046,-0.670155576,-0.99814643,0.471204891,0.779860125,0.256228656,0.093047223,-0.570256984,1.048445778,0.782659272,0.541427176,-0.163523296,0.271910983,0.038346374,0.52932658,0.563019393,1.053931731,1.10215456,0.902136452
20160121,JSC5069,Guajira,20160121JSC5069,Baja,Baja,73º26'8.4''W,-0.59241802,0.48513297,-0.707190592,0.698473976,0.906281446,0.593581035,-0.381850719,-0.845105162,0.165625315,-0.705741998,0.034563608,-0.66501038,-0.99814643,0.373890971,0.738670727,0.025220739,0.091012267,-0.568927733,0.974362956,0.735562803,0.185635991,-0.467183052,0.048920812,0.189236802,0.647557241,0.240461844,0.771373053,0.740852928,0.658127399
20160122,JSC5069,Guajira,20160122JSC5069,Baja,Baja,73º26'8.4''W,-0.768014049,0.124139735,-0.734598192,0.14778418,0.907909695,0.695377775,-0.967323198,-0.878308212,0.164648721,-0.787781175,0.263766225,-0.669089986,-0.99814643,0.278657144,0.78921539,0.295258747,0.09040663,-0.565218568,0.966633674,0.867825838,0.712830536,-0.211872403,0.361292532,0.404901822,0.814606338,0.639290739,1.064020217,0.941284492,0.521842814
20161221,302151,Guajira,20161221302151,Media,Alta,"73º25'51.9""W",-0.348189707,0.00339944,-0.045003634,0.968846986,0.201531313,1.175163552,-0.908731669,-0.372795132,-1.167492655,-0.827859346,-0.31631733,-0.496368776,-0.99814643,0.03948486,-0.279057714,-0.185100762,-1.124775504,-0.44425319,0.346379464,0.126248479,-0.480206136,-0.790833726,0.169385195,-0.170564898,-0.540823609,0.333562622,0.958355786,0.925368224,0.748261349
20161223,302151,Guajira,20161223302151,Media,Alta,"73º25'51.9""W",-1.292961369,-0.341435897,0.344387181,0.888027119,-0.031168439,0.926255307,0.047400387,6.812309141,-0.921079968,-0.694807153,-0.522631359,-0.345457866,-0.99814643,-0.159858105,-1.477206671,-0.401989347,-0.934698111,0.142895336,0.525033277,0.333019451,-0.677087525,-0.403380781,0.037518993,-0.210815591,-0.691713542,-1.045307378,0.19288644,0.412927003,0.367703185
20161224,302151,Guajira,20161224302151,Media,Alta,"73º25'51.9""W",-0.230751737,0.114336408,0.14819131,0.80697531,0.012009216,1.138789621,-0.842542862,0.295176728,-1.036481597,-0.890514071,-0.743356917,-0.415347082,-0.99814643,0.010263391,-0.632624078,-0.495670384,-1.031431542,-0.416985958,0.481095965,0.248956328,-0.33077403,-0.066635233,0.405259812,0.027513334,-0.637189931,-0.962179832,0.279191426,0.629138501,0.575123463
20161225,302151,Guajira,20161225302151,Media,Alta,"73º25'51.9""W",0.029948787,-0.499247008,-0.11762779,1.027775406,-0.590469932,0.728399251,-0.410884726,-0.387554717,-1.017282882,-0.806487326,-0.667194346,-0.371212507,-0.99814643,-0.477450117,-0.160781188,-1.089710968,-0.925152155,-0.26319019,-0.88924359,-0.789668033,-1.241011672,-0.550313954,-0.414498758,-0.690225444,-1.501869576,-0.870248668,-0.252210386,-0.320751431,-0.499876348
20161231,302151,Guajira,20161231302151,Media,Alta,"73º25'51.9""W",0.375733324,-0.172223654,-0.003632634,1.450841745,-0.416352634,0.613531299,-0.227556788,0.56410416,-0.995844686,-0.810929564,-0.576946174,-0.370932247,-0.99814643,-0.460318232,-0.05746262,-0.881193829,-0.94606645,-0.43094268,-0.346681555,-0.380257613,-1.267979393,-0.651298959,-0.216534552,-0.327279333,-1.200208095,-0.799949053,-0.09238649,0.053931547,-0.277007566
20170101,302151,Guajira,20170101302151,Media,Alta,"73º25'51.9""W",0.373792141,0.522474337,0.625391406,1.288583806,0.074220236,0.754799067,-0.511678029,0.153939353,-1.125874397,-0.740788153,-0.570174863,-0.464772695,-0.99814643,-0.257736669,-0.936531807,-0.572861148,-1.095665489,-0.472503187,-0.004062568,-0.39590148,-1.328645101,-1.733978585,-0.873414235,-0.473301474,-1.389531814,-0.57285278,0.297532762,0.38386582,0.12728735
20170102,302151,Guajira,20170102302151,Media,Alta,"73º25'51.9""W",-0.037640327,0.669069817,-0.283184139,0.394653473,0.20082185,0.830674386,-0.902894229,-0.173286853,-1.164575719,-0.876619214,-0.537556421,-0.501640611,-0.99814643,-0.250076496,-0.26392301,-0.110209807,-1.130075775,-0.499133792,0.310737727,0.233935046,-0.585080909,-0.403884927,0.027543447,-0.264049903,-0.144906505,0.224123801,0.537999693,0.473038615,0.367996852
20170103,302151,Guajira,20170103302151,Media,Alta,"73º25'51.9""W",0.01637228,0.948346282,-0.09694352,0.489282095,0.220923721,0.684172687,-0.813976893,0.114485776,-1.15018672,-0.803479412,-0.838301814,-0.498255987,-0.99814643,-0.093794549,-0.017530439,-0.296389994,-1.125345528,-0.519024199,0.622048988,0.41313436,-0.437847473,-0.166355106,0.387437097,-0.297126808,-0.238545213,0.155395457,0.678636932,0.628738181,0.233459983
20170104,302151,Guajira,20170104302151,Media,Alta,"73º25'51.9""W",0.013255645,1.027861188,-0.121363547,0.693105929,0.196746014,0.825676949,-0.661337516,0.365427922,-1.148537979,-0.913189115,-0.740947565,-0.497648082,-0.99814643,-0.068705515,-0.157277614,-0.027468238,-1.126249533,-0.524420815,0.551536314,0.32810858,-0.360439952,-0.165627379,0.287255162,-0.296655475,-0.302828468,0.301936196,0.86931328,0.800753925,0.644588574
20170110,302151,Guajira,20170110302151,Media,Alta,"73º25'51.9""W",0.057277263,0.212821652,-0.530574397,0.447130145,-0.129499793,0.830107422,-0.557139708,-0.311752927,-1.12501415,-0.865921896,-0.098922432,-0.459551591,-0.99814643,-0.422948088,0.382875718,-0.681400372,-1.032826829,-0.390260118,-0.607800014,-0.575438073,-1.032713066,-0.52213297,-0.704459847,-1.685194248,-0.966523018,0.210618177,0.257352183,0.227517821,0.282602932
20170111,302151,Guajira,20170111302151,Media,Alta,"73º25'51.9""W",-0.344034503,0.124954343,-0.744977347,-0.410612895,0.021813543,0.885509135,-1.32233679,-0.399629214,-1.154366508,-0.953092598,-0.234370106,-0.502761117,-0.99814643,-0.325612226,0.67803552,-0.447221499,-1.080332458,-0.384209114,-0.492774098,-0.246130772,-0.668505808,-0.416321289,-0.84421655,-1.376920032,-0.679589685,0.202063602,0.240592474,0.205344813,0.504518541
20170112,302151,Guajira,20170112302151,Media,Alta,"73º25'51.9""W",-0.20830563,-0.420761732,-0.807050363,0.17228281,-0.359948888,0.515396892,-0.865577797,-0.256189065,-1.095251486,-0.744578311,0.062702215,-0.422452978,-0.99814643,-0.732888923,0.827212145,-0.57548613,-0.996804073,-0.361771429,-1.274256279,-0.982501182,-1.260338991,-0.887873701,-0.727705757,-1.167041381,-1.603139907,-0.593659233,-0.301248798,-0.300255341,-0.128925279
20151212,5072,Guajira,201512125072,Media,Alta,73º26'36.9''W,-1.041946661,1.147561201,-0.734487175,0.292826925,0.779214536,0.871577226,1.053236062,0.945191854,0.156632971,-1.016773389,-0.195125462,-0.480304963,-0.99814643,-0.716362731,0.449226649,0.162704483,0.080492818,-0.523585845,0.805204811,0.437610059,-0.135432291,-0.348677996,0.476424149,0.627477721,0.695802703,0.139652902,0.386221252,0.915386152,0.967918023
20151213,5072,Guajira,201512135072,Media,Alta,73º26'36.9''W,-0.980705486,1.122786358,-0.804848282,0.353897525,0.771881,0.848336798,1.026878211,1.109698431,0.159131656,-1.014191698,-0.236914929,-0.477028709,-0.99814643,-0.711480278,0.601549519,0.272373739,0.083737944,-0.527404032,0.866562077,0.683331337,-0.094723151,-1.006933802,0.370910905,0.942342871,0.839206826,-0.063995818,0.477991897,0.92824264,1.022505754
20151214,5072,Guajira,201512145072,Media,Alta,73º26'36.9''W,-0.90198935,1.148568633,-0.692635272,0.379372155,0.774283435,0.686040316,1.134236786,1.345353576,0.163042692,-1.049020175,-0.654985834,-0.482290754,-0.99814643,-0.717611535,0.496170824,0.034829234,0.086096448,-0.518858467,0.833629825,0.531650725,-0.1494495,-0.560255547,0.485532609,0.757519847,0.957945323,-0.253127855,0.512252836,0.921464433,0.855598883
20151215,5072,Guajira,201512155072,Media,Alta,73º26'36.9''W,-1.220462996,1.249204445,-0.540569969,0.084205672,0.813332183,0.592466502,0.891728871,-0.423870714,0.126688912,-1.051553155,-0.381596775,-0.521962718,-0.99814643,-0.714363151,0.106556421,0.324984334,0.058857278,-0.523465118,0.461141637,0.220913737,-0.449026012,-1.027021003,0.087973446,0.62864056,0.372369001,0.208830988,0.352682766,0.845368485,0.869647141
20151218,5072,Guajira,201512185072,Media,Alta,73º26'36.9''W,-0.830708613,1.158180848,-0.514973971,0.521132273,0.775445942,0.495256329,1.063159498,0.450631895,0.150555188,-0.814591951,-0.473423314,-0.478344216,-0.99814643,-0.758840499,0.330176165,0.125666937,0.076202643,-0.533627652,0.536144357,-0.000774941,-0.556257976,-1.004957545,-0.096939896,0.859459247,1.045911656,-0.192370188,0.610457753,0.842627706,0.688796679
20151227,5072,Guajira,201512275072,Media,Alta,73º26'36.9''W,-0.579452902,1.213540316,-0.705087857,-0.139509732,0.818592537,0.320433298,0.92440648,0.128451628,0.136773235,-0.97468695,-0.668961526,-0.536008681,-0.99814643,-0.607318787,0.779661348,0.586883533,0.065589868,-0.54928101,0.533852848,0.231181849,-0.131154231,-0.448367688,-0.001400396,0.451332514,0.233645503,0.390826655,0.477256721,0.871946094,0.568407884
20151228,5072,Guajira,201512285072,Media,Alta,73º26'36.9''W,-0.628546282,1.244116833,-0.67102301,0.128126473,0.810669362,0.169860946,0.973056495,0.473589395,0.140745218,-1.083410252,-0.682171923,-0.529494935,-0.99814643,-0.626340607,0.726222496,0.48250109,0.069517935,-0.542739674,0.919488617,0.484125139,-0.420977119,-0.955311621,-0.003668952,0.395821205,0.202152,0.332806144,0.315476289,0.787570677,0.534300138
20151229,5072,Guajira,201512295072,Media,Alta,73º26'36.9''W,-0.661505627,1.35641186,-0.728664472,0.160467552,0.811846626,0.331168993,1.005450783,0.138925678,0.136395576,-1.125496691,-0.718558453,-0.526833985,-0.99814643,-0.624496024,0.763808143,0.44733135,0.065809858,-0.553616031,0.862186959,0.555076694,-0.211001683,-0.620629234,-0.037997984,0.364725661,0.4172609,0.206577973,0.499810939,0.804039985,0.532957861
20151231,5072,Guajira,201512315072,Media,Alta,73º26'36.9''W,-0.622739768,1.194254502,-0.531719599,0.382421936,0.800360489,0.1438202,1.202985216,0.604032093,0.149059472,-1.043388336,-0.715841421,-0.510627868,-0.99814643,-0.66509223,0.581085311,0.288826086,0.076586771,-0.540802957,0.702041897,0.093160753,-0.691996097,-0.986058209,-0.401571723,0.499063262,0.827579104,0.150713347,0.442787195,0.728702768,0.229597054
20160101,5072,Guajira,201601015072,Media,Alta,73º26'36.9''W,-0.894779673,1.381166012,-0.43591968,0.843146391,0.798996106,0.351357772,1.102549563,0.32948906,0.143977847,-0.962908822,-0.516712573,-0.514251505,-0.99814643,-0.73122638,0.39607322,0.136593839,0.074675836,-0.524847202,0.606018992,-0.146208614,-1.899921919,-2.998010586,-1.301181265,0.503453234,0.620581933,0.013658851,0.349704376,0.584751061,0.320145159