filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,ADI,ACItf,BI,TE,ESM,NDSI,P,M,MIDBNT,MD,FM,SF,cluster,label
13654-SM5071__0__20170202_034000.wav,0.6906947493553162,1657.1564688045444,2543.075989630411,5489.70847115059,0.0,1.6957773224091097,45163.0381056888,0.9998860949691919,0.9666295685606274,0.9213548824580524,24.430695032444266,789.2551912097584,0.02185792349726776,-100.3515102931758,-8.764474328796691,40.12262010814302,0.10464484240912798,Cluster7,Alta
13654-SM5071__0__20170214_125000.wav,0.903377115726471,1637.0150068320786,3035.014861867248,5725.157047425261,0.0,0.4861957288406197,44696.40425391966,0.9999703100610113,0.9210593332855597,0.34903141174313035,2.072344865910501,780.0012714951481,0.12724434035909446,-100.3515102931758,-9.474841649796444,40.17818647032841,0.37574281523040587,Cluster7,Alta
13654-SM5071__0__20170124_155000.wav,0.8870907425880432,2111.6953093008638,3435.153117952596,7233.906257558533,3.0234133126934986e-06,0.6031090329762611,44632.05139868021,0.9999229978706837,0.8859953267375777,-0.005463380451628304,0.9891326117731423,781.472125060465,0.0624512099921936,-100.3515102931758,-10.95477928839765,40.19327299502603,0.17218933688944796,Cluster7,Alta
13654-SM5071__0__20170216_062000.wav,0.9049793481826782,891.7600790239195,2202.454371291101,1938.7632765637093,0.0,1.4680663891869272,44912.396001174515,0.9999872953222634,0.9857998759834412,0.45495987682917055,2.669454623569335,788.1035579369945,0.12724434035909446,-100.3515102931758,-9.099078787308573,40.06580881542775,0.609970311841312,Cluster7,Alta
13654-SM5071__0__20170216_161000.wav,0.9058190584182739,707.0124308029352,1926.1555257350742,949.0192614103619,0.0,0.47085141624342974,44720.80350948832,0.9999814889227127,0.9584015318981717,-0.4436798829753084,0.38534866599246387,778.089187250944,0.12334113973458236,-100.3515102931758,-8.511959709908513,40.13708860875024,0.33411903051322517,Cluster7,Alta
13654-SM5071__0__20170216_093000.wav,0.9062668681144714,886.6460662894145,2212.119007917062,1813.0890364986456,0.0,0.8739306392406703,44776.016885079385,0.9999886684700714,0.9908038219248485,0.41368774396148245,2.411151616568989,787.1467005566133,0.12724434035909446,-100.3515102931758,-8.803039935356406,40.07065208268262,0.6495106555888771,Cluster7,Alta
13654-SM5071__0__20170215_131000.wav,0.907453715801239,1004.372766280053,2313.718819045814,2386.893900112471,0.0,1.7883394879370331,45188.18899001973,0.9999822305395423,0.9565902615911112,0.12886297235142063,1.2958500632196857,782.1951907550164,0.12724434035909446,-100.3515102931758,-8.969600318136898,40.026258241013295,0.4661083619411945,Cluster7,Alta
13654-SM5071__0__20170216_175000.wav,0.9074634313583374,767.8993215426221,1927.4307750553432,1536.6157082950367,0.0,0.596222406627396,45155.505468786476,0.9999777351812231,0.9669844030456144,0.12346549712660004,1.2817128058778366,785.0171476995273,0.12724434035909446,-100.3515102931758,-8.900993152071717,40.011861507266765,0.30818675226877096,Cluster7,Alta
13654-SM5071__0__20170126_195000.wav,0.6252944469451904,2374.7700648600157,2939.672397388676,6621.684959576964,0.0,1.7009614916712477,46111.22464832429,0.9997850766831547,0.9692086575958828,0.9373637429000675,30.93038812662634,789.176534087564,0.02419984387197502,-100.3515102931758,-10.296549322595117,40.065943164020545,0.09110583770760522,Cluster7,Alta
13654-SM5071__0__20170222_043000.wav,0.8054776787757874,1256.2637579901227,2372.8899460617836,4053.042158475232,0.0,0.4177745276249009,45073.12791833314,0.9999615893384173,0.973048588551785,0.869657685688094,14.344211206915109,791.5515085778011,0.06947697111631537,-100.3515102931758,-9.19536790568239,40.05641228161073,0.2591063150094873,Cluster7,Alta
13654-SM5071__0__20170126_163000.wav,0.9131909608840942,1270.3282371822422,2717.2275754045254,3605.1365335659348,0.0,1.093212488145655,44951.22374597122,0.999970476052952,0.9377470905522147,-0.14398650687509643,0.7482723685816737,774.6772498489476,0.0936768149882904,-100.3515102931758,-9.36206628703084,40.09432955626667,0.3199828353072129,Cluster7,Alta
13654-SM5071__0__20170126_221000.wav,0.7468497157096863,1855.671143881489,2681.1598573031542,5785.965013061145,0.0,1.6412265143324478,45479.301482394265,0.9998501408574706,0.9696452452715596,0.9135887847742532,22.145143773005124,789.0740691171236,0.02810304449648712,-100.3515102931758,-9.381011119393264,40.15829925761181,0.09375212477332462,Cluster7,Alta
13654-SM5071__0__20170124_202000.wav,0.7880405783653259,1550.1341217788076,2474.611693155928,4565.447393364212,0.0,1.3592656635344715,45527.71160956643,0.9999070053515428,0.9688399789185989,0.8573946219809236,13.02471651337343,790.0572519134737,0.039032006245121,-100.3515102931758,-9.773747121005016,40.10406444997216,0.11353132442093251,Cluster7,Alta
13654-302143__0__20170202_104000.wav,0.8998215794563293,1636.6280343316967,2832.1013477927618,5118.460716034975,0.0,0.5387763049909011,45794.976583742726,0.9997009365407902,0.9564450506905795,0.24113822308937002,1.6355260745140112,763.1411978407568,0.0,-100.3515102931758,-11.36776447888823,39.96234763966285,0.35291948131046014,Cluster6,Alta
13654-302143__0__20170123_132000.wav,0.7149198651313782,3170.38131983912,3970.409671763036,8521.990135358214,0.0,1.2887798164395117,44986.144491661566,0.9992276293764654,0.9217156970546194,0.1351671808704122,1.312585687963256,774.1952246346912,0.01717408274785324,-100.3515102931758,-12.990216281833902,40.2064577125476,0.23268922460679936,Cluster6,Alta
13654-302143__0__20170204_054000.wav,0.6816098690032959,1387.3300046510199,2448.7716664239674,4695.1966087884575,0.0,2.705838439143164,45504.50298621702,0.9998216389283128,0.9639898564374374,-0.2554308072311445,0.5930786376120597,777.9160568436344,0.03981264637002342,-100.3515102931758,-9.425211618528415,40.05146678307239,0.1869788618041048,Cluster6,Alta
13654-302143__0__20170125_043000.wav,0.3433060348033905,2117.0675587248593,2685.8515933398685,5000.2780973357685,0.0,2.106239691796122,45620.0801129387,0.9995850745671216,0.9090997986952292,0.9581195139145147,46.754937607879185,782.6775929216577,0.01014832162373146,-100.3515102931758,-9.196270367859661,39.978144131879944,0.08986599622588047,Cluster6,Alta
13654-302143__0__20170126_172000.wav,0.5425836443901062,4737.736305256069,3828.548801425781,8862.488076413749,0.007319305703366873,2.63346345698108,45389.52515667313,0.9976721157427886,0.8344353688042488,0.4693118179451629,2.7686914230046593,786.643112575823,0.0,-100.3515102931758,-14.047257032232352,40.20920430257644,0.07123850288509145,Cluster6,Alta
13654-302143__0__20170124_112000.wav,0.8450629115104675,1766.4023655508076,3050.7304100028173,5147.718872448239,0.0,1.8316086976031327,46151.16539022136,0.9998658026749138,0.8953210452279657,-0.0668281974839777,0.8747161021023137,768.9285437077147,0.06947697111631537,-100.3515102931758,-11.486128221993294,39.915257302298436,0.45052564021154057,Cluster6,Alta
13654-302143__0__20170206_225000.wav,0.3039831221103668,3712.2467635437015,2865.5224351691486,6338.620004565354,0.0011394488922213623,2.7680481073397165,46840.750325438006,0.998042112104931,0.8969626732684887,0.9910337660681461,222.0590920558878,792.5788174458709,0.00936768149882904,-100.3515102931758,-9.520900713835504,39.91664469514941,0.06575801264623338,Cluster6,Alta
13654-302143__0__20170127_082000.wav,0.659246027469635,1524.0920260919142,2637.149182828724,4618.247074091767,0.0,2.129903312504206,46625.79284155958,0.9998742227794907,0.9760965038817216,0.23791347154430287,1.624373906796159,773.9507317321884,0.08040593286494926,-100.3515102931758,-9.487195958580783,39.78405569821311,0.37249269781537936,Cluster6,Alta
13654-302143__0__20170203_101000.wav,0.8760006427764893,1724.2483923832608,3054.3857817523326,5970.130566103909,0.0,1.0817587718285988,46108.74412860943,0.9997519419405352,0.9632160339781618,0.16470667148196938,1.3943684592194465,771.0469094253173,0.02263856362217018,-100.3515102931758,-10.910982972831095,39.87304920003849,0.412299040505241,Cluster6,Alta
13654-302143__0__20170123_025000.wav,0.3819519281387329,2134.3068753198236,2662.5875487039593,4987.986504994678,0.0,2.4713320234961706,45972.840361830444,0.9994901244941571,0.9627492313868521,0.9701852777408906,66.08095358456427,783.4957433151565,0.0039032006245121,-100.3515102931758,-5.498726674277194,39.95445923204443,0.11204471915967741,Cluster6,Alta
13654-302143__0__20170206_011000.wav,0.28563883900642395,3386.7108846273773,2727.2126675414456,5886.906069351055,0.001895302220394737,2.5600937242297435,47889.97524977995,0.997584383853405,0.9098100633446613,0.9969056897021018,645.3475887853131,807.0002120091465,0.01327088212334114,-100.3515102931758,-7.581580597033252,39.820577774382755,0.07112037992338376,Cluster6,Alta
13654-302143__0__20170126_003000.wav,0.32043224573135376,3144.9641250883083,2740.8258788832995,5813.198181719234,0.00046862906346749225,2.8377452188767953,47844.94537054538,0.9982082604199538,0.9596610901643374,0.9933972330411694,301.90331499965873,796.8878930602978,0.00858704137392662,-100.3515102931758,-6.488019336893276,39.78044622781969,0.0919260211059351,Cluster6,Alta
13654-302143__0__20170202_071000.wav,0.6650426387786865,1458.3211815459458,2547.187693353369,4132.100013756531,3.0234133126934986e-06,2.6185360249302394,46973.56494083662,0.9997331774171601,0.9613128286212866,-0.01573189320168899,0.9690235320816786,779.4273172926067,0.039032006245121,-100.3515102931758,-9.709548416471026,39.77891148737962,0.1986247436509167,Cluster6,Alta
13654-302143__0__20170127_005000.wav,0.3581216633319855,2837.8535705909503,2740.511092477208,5622.799333035024,1.814047987616099e-05,2.8586509800898563,46648.20709963735,0.9989131654485307,0.9619696829079545,0.9905873803975395,211.4806997912871,787.0226410700889,0.00858704137392662,-100.3515102931758,-7.0541568818692895,40.008561105716645,0.11751202259700204,Cluster6,Alta
13654-302143__0__20170205_083000.wav,0.8026285171508789,1330.7654252606098,2665.7444602300316,4017.20070853691,0.0,2.2770953022545988,46260.86866829957,0.9998301231169409,0.9507865032983026,0.0680539012096617,1.1460468610748955,777.4420291225808,0.02888368462138954,-100.3515102931758,-9.42782781474251,39.88618462864138,0.29382301067008587,Cluster1,Alta
SM302143__0__20170603_135000.wav,0.8901886940002441,985.279432103998,2285.690935997732,2225.8282073880127,0.0,0.8883160419168991,45577.14813911362,0.9999010906357024,0.9468923587527475,0.025746070716842283,1.0528528958272427,764.8191752740267,0.08743169398907104,-100.3515102931758,-9.617503210069826,39.986756819081116,0.31899233982676556,Cluster1,Alta
13654-302143__0__20170127_073000.wav,0.7900578379631042,1146.0519696852407,2329.400347557208,2841.3244855662247,0.0,1.2939507072715777,46156.442985503825,0.9997901321182393,0.9699042274004298,0.19317849062030426,1.4788630158579303,777.2329076309794,0.12646370023419204,-100.3515102931758,-9.689406111064685,39.89153565659893,0.19669494347253846,Cluster1,Alta
SM302143__0__20170524_203000.wav,0.24774210155010223,3917.6180748907727,3131.6066456739495,6776.592356206463,0.003920989139899381,1.4763788034384782,45620.45342982739,0.9977435287939358,0.9804691000280678,0.9845857313676204,128.74991209110962,804.0189290804424,0.0,-100.3515102931758,-10.673625173059044,40.17949982733324,0.03581658685402917,Cluster1,Alta
SM302143__0__20170603_195000.wav,0.37364062666893005,3079.401654674828,3153.1219411514844,6627.5015910712555,0.0,2.1683364033272743,44937.4719620723,0.9991963895644018,0.9782304543606926,0.9680589742326042,61.61539671783298,780.29028318089,0.0,-100.3515102931758,-11.151697518990566,40.3493119678339,0.06733310655466111,Cluster1,Alta
13654-302143__0__20170212_121000.wav,0.8845726251602173,1293.9368200244976,2714.687769639489,3792.7187326153735,0.0,2.722637423531845,45302.072063722684,0.9998988175098341,0.9711679917756424,0.18535193115189688,1.4550478623584806,763.2401461238146,0.0663544106167057,-100.3515102931758,-10.458402524310225,40.02520504823919,0.5279083429437099,Cluster1,Alta
SM302143__0__20170514_175000.wav,0.760485053062439,1652.1846149532137,2704.600256338998,5393.659051948288,0.0,0.46235754468736046,45289.07751827759,0.9998265157332191,0.9804072349996135,-0.21498347532794454,0.6461129230256949,771.0159761282748,0.09523809523809523,-100.3515102931758,-9.369159049189081,39.98512267340813,0.279463578529408,Cluster1,Alta
SM302143__0__20170510_004000.wav,0.1949644386768341,3499.220557425473,2939.060989863532,6175.63765676398,0.0050347390189628485,0.5207786789258657,45653.46826852434,0.9968461467506563,0.989642263322738,0.9898041607412991,195.15844750526733,811.1831009647358,0.0,-100.3515102931758,-5.659677602718622,39.95691304018477,0.023252864949613525,Cluster1,Alta
13654-302143__0__20170215_021000.wav,0.21686461567878723,3230.7622403453242,2493.5651908455716,5355.817614103618,0.0062410809307275545,1.7837781935139612,45158.95795847979,0.9970849065041129,0.9757821823756482,0.9836502495808587,121.32602631404947,816.2294514612574,0.00312256049960968,-100.3515102931758,-7.144054737495736,40.12212809729081,0.022826939839600047,Cluster1,Alta
SM302143__0__20170601_191000.wav,0.3144948184490204,3122.169101029888,2978.5240138857503,6425.202814344282,4.1949859713622294e-05,2.5458066383664897,44894.22097585317,0.9985069609979974,0.9766909669555515,0.9653612649427268,56.73882899283459,789.2907447855439,0.0,-100.3515102931758,-11.038602693072875,40.600511908514704,0.045084814006977114,Cluster1,Alta
13654-302143__0__20170123_001000.wav,0.2815167307853699,3326.6347050731315,2783.756406263541,5958.605635793586,0.0006250907023993808,2.7544232908770616,46525.331734712396,0.9978952360008085,0.9557152300621343,0.9875637890815863,159.82068832064283,799.3365677145443,0.0,-100.3515102931758,-6.335468761411717,40.035822288110644,0.07728225194629174,Cluster1,Alta
13654-302143__0__20170213_204000.wav,0.28092604875564575,3517.5426250802484,2441.132691518921,5720.582075089493,0.028664225764318884,2.074333371312194,46291.03111875696,0.9955176781003889,0.9711609070111898,0.9406414865946758,32.69356618389644,847.5365854116608,0.01639344262295082,-100.3515102931758,-6.6817447652756075,39.91480178028168,0.03568236982973661,Cluster1,Alta
SM302143__0__20170522_014000.wav,0.19244986772537231,3433.207831199934,2780.787046981719,5985.063809137964,0.018097018309791022,1.919641851314236,45528.79085021875,0.9969017537888569,0.9747419174258042,0.980455656050902,101.33139598898227,809.9214647453939,0.0,-100.3515102931758,-10.387718755370988,40.10689120293381,0.01999859084499004,Cluster1,Alta
SM302143__0__20170531_100000.wav,0.6622779369354248,1263.106516210831,2360.2450616182123,3288.238449805292,0.0,0.9404441991612802,45852.83367945268,0.999864537604286,0.9345106337003013,0.46194118185915367,2.717065741828368,771.1472182252332,0.11553473848555816,-100.3515102931758,-9.786616881972577,39.939917183564205,0.24886143242830003,Cluster1,Alta
13654-302298__0__20170204_112000.wav,0.6388229727745056,3227.9482422276533,2914.169474389948,6544.277094318401,0.004176467564821981,1.3515853206389399,46244.98618713545,0.99674063330758,0.9584347352956617,0.8096601834735294,9.507523000169858,377.9395924376854,0.11943793911007025,-100.3515102931758,-13.878500595355064,39.908885449294985,0.14975495834246097,Cluster5,Baja
13654-302298__0__20170204_141000.wav,0.794028103351593,2443.858765100156,2915.026536427233,6117.646340762868,6.046826625386997e-06,1.2364148766685343,45155.25229891427,0.9995461704350689,0.9736125632955047,0.5761990822645182,3.719196953811962,364.3648478147159,0.12724434035909446,-100.3515102931758,-12.175549825713007,39.99078063415811,0.3971978541572161,Cluster5,Baja
13654-302298__0__20170202_015000.wav,0.25847458839416504,4287.708376986418,2367.020037331348,6375.986445282266,0.17814404750386997,1.7203022892809507,45118.19650029256,0.9925714512352519,0.9627168841579802,0.984027407269336,124.21448669760609,471.2812996190204,0.02419984387197502,-100.3515102931758,-14.38412360261464,40.147487576665824,0.02625312792288835,Cluster5,Baja
13654-302298__0__20170203_033000.wav,0.2701188027858734,4419.069879238211,2470.4889452470607,6647.38480417352,0.1701066811387384,1.4307614534155157,45289.775494729285,0.9928507001707448,0.942607488843571,0.9811261783733919,104.96688045310425,446.2501546352223,0.02654176424668228,-100.3515102931758,-14.301707743420195,40.11026685809929,0.03143400989509387,Cluster5,Baja
13654-302298__0__20170205_171000.wav,0.20270374417304993,3048.269930389859,2301.8296621073487,4816.662540967251,0.0807565033620356,1.7460631460890086,46854.11722047646,0.9903895092213504,0.9752228674936961,0.9915564824275568,235.86810418057829,416.5764959569877,0.0156128024980484,-100.3515102931758,-12.932910213234955,39.557930565928224,0.009705605156303834,Cluster5,Baja
13654-302298__0__20170202_185000.wav,0.2874803841114044,4115.162908273591,2663.080057582689,7028.257501088428,0.07873648534249227,1.7678398112154816,46524.78136692404,0.994157101478217,0.946438476835753,0.9722695350318815,71.12284403811424,421.6818984265303,0.01795472287275566,-100.3515102931758,-13.896445144492423,39.866835532153075,0.048598916181725633,Cluster5,Baja
13654-302298__0__20170204_003000.wav,0.2751927673816681,4408.8556983450435,2289.971018095811,6685.04290979344,0.20700744062016255,1.2615935837756278,45818.94178757034,0.9919352804262656,0.894351268749852,0.9903954221222412,207.23403437972644,499.2159451648459,0.0234192037470726,-100.3515102931758,-14.297128038535064,40.0415718456386,0.04228525509501544,Cluster5,Baja
13654-302298__0__20170202_145000.wav,0.5360159277915955,2853.0519087137877,2827.120282187976,6199.154181229441,0.0001961439386609907,0.46455492365374873,45162.683204739915,0.9982168190856157,0.9696112630004218,0.4157185175368888,2.4230076769997084,375.5453169408404,0.02966432474629196,-100.3515102931758,-13.346326326010033,40.02061638534995,0.013974553795443899,Cluster5,Baja
13654-302298__0__20170206_023000.wav,0.21715471148490906,4565.807996491395,2317.610354751161,6859.116857192095,0.2540812300454721,1.799055090227007,45775.62127077787,0.991507128039901,0.9521676478904755,0.9936982839402616,316.37386785450224,549.02103937803,0.02185792349726776,-100.3515102931758,-14.659931537944823,40.02194821285323,0.01717979527983115,Cluster5,Baja
13654-302298__0__20170205_130000.wav,0.5586728453636169,2440.965748577151,2883.618255520628,5963.988936574836,6.349167956656347e-05,2.2098705014062525,45115.06981225186,0.9988737967161528,0.9422194656631622,0.6182104346886842,4.238487852252264,370.2730121569968,0.12724434035909446,-100.3515102931758,-12.598405479786345,40.061360154759065,0.19080038223055795,Cluster5,Baja
13654-302298__0__20170206_082000.wav,0.25708967447280884,3122.270967705567,2360.04788100717,5208.476838386465,0.07212503628095976,1.802980785312566,46127.978091464305,0.9925259371699061,0.9679282648339731,0.9726820762417562,72.21200606969465,408.1877545973643,0.01795472287275566,-100.3515102931758,-13.411383432991716,39.78811631250703,0.01791058721786217,Cluster5,Baja
13654-302298__0__20170203_141000.wav,0.7811070084571838,2595.2307366737064,2906.703128674904,6101.079774271962,0.0002086155185758514,2.1843741768032388,45244.12482463495,0.9991765975503044,0.9734966540044616,0.6327188863449517,4.445420212590641,367.14862753678074,0.12724434035909446,-100.3515102931758,-12.595962051943594,40.01314941907059,0.3163617603472068,Cluster5,Baja
13654-302298__0__20170203_215000.wav,0.2582125961780548,4328.046305785247,2307.855642364534,6803.383860868566,0.20372476961590558,1.63894422341146,46482.730306699086,0.9916422156541842,0.9673335489997195,0.994271491711315,348.13103014103535,527.6825968516687,0.02576112412177986,-100.3515102931758,-14.205460942876247,39.86495061575111,0.022320752439654604,Cluster5,Baja
13654-302298__0__20170204_170000.wav,0.2356070578098297,3037.703110219644,2402.7026883605895,4932.386841198239,0.041035655113196595,2.184633400110463,46275.76189546494,0.9945706566518604,0.9727074592198486,0.9845377584395024,128.34735188134226,394.0612647976923,0.01795472287275566,-100.3515102931758,-12.901125812489886,39.73014725209981,0.024919645676575407,Cluster5,Baja
13654-SM5071__0__20170127_011000.wav,0.6252074241638184,2097.7768964276847,2816.2086879633052,6181.120956940547,0.0,1.3811652663465235,45332.62942582544,0.999831607569641,0.971294387967717,0.9282459523744813,26.87299206363817,788.0237833676722,0.02654176424668228,-100.3515102931758,-9.483747905917099,40.15283765827652,0.08617202125125695,Cluster2,Baja
13654-SM5071__0__20170123_013000.wav,0.6653304696083069,1640.2825035708265,2500.5509110960297,5370.367526122291,0.0,1.7341643880346158,45689.47623064392,0.9998867317177097,0.9679849258411134,0.8868271949393136,16.672090030175923,792.034866204358,0.04059328649492584,-100.3515102931758,-9.855097722391964,40.005237600056596,0.0896951642729786,Cluster2,Baja
13654-SM5071__0__20170204_012000.wav,0.5516490936279297,2303.1081331255405,2837.795997440373,6227.295677728328,0.0,2.164821051767023,45445.96386720225,0.9997453558369241,0.9708489052787853,0.9583696314469063,47.04185188630465,792.6235819103938,0.0195160031225605,-100.3515102931758,-9.776968397157981,40.15447370820602,0.06497063921684176,Cluster2,Baja
SM3-5071__0__20170510_004000.wav,0.771870493888855,1180.3738360138643,2501.6778328655323,4184.4580304881,0.0,1.2277846090500957,45037.06165398526,0.9999672011880791,0.9903886729979102,0.9099566992901215,21.211535830345085,798.169695254157,0.0,-100.3515102931758,-9.515342312762911,40.05540696173751,0.23591061139732977,Cluster2,Baja
13654-SM5071__0__20170215_072000.wav,0.9065460562705994,870.9382453523459,2193.015497642477,1723.4312453137093,0.0,0.8958149990337907,44810.79921858807,0.999989318234559,0.9913034732073955,0.49203126141070247,2.93725016534342,791.0017357036909,0.12724434035909446,-100.3515102931758,-8.970978601450906,40.07363598360726,0.649992618025176,Cluster2,Baja
13654-SM5071__0__20170202_232000.wav,0.5321148633956909,2207.8468938444025,2762.4174799523003,6133.229579866486,0.0,1.3599384347439056,45560.66522223856,0.9997760476607359,0.9787287939364034,0.9598149907115571,48.76980310354669,788.5580484845077,0.02029664324746292,-100.3515102931758,-9.467881437766582,40.085408971791104,0.07598354949760656,Cluster2,Baja
SM3-5071__0__20170520_010000.wav,0.9060896039009094,340.941019869948,1493.2104750723122,18.14989025009675,0.0,1.823201248837041,44570.52857366044,0.9999979894779872,0.9920501046086607,0.5491388000742274,3.4359550130489596,797.0013491539137,0.00702576112412178,-100.3515102931758,-7.01268544327861,40.13315185829844,0.8562361163591948,Cluster2,Baja
13654-SM5071__0__20170125_195000.wav,0.5732108950614929,2081.988391572569,2713.7119422685173,5703.865509505611,0.0,1.4258338484016555,45872.05989324892,0.999776802580023,0.9697805272422995,0.9408162285170835,32.793047483925676,791.004395209812,0.02654176424668228,-100.3515102931758,-10.08447682785328,40.04962946382897,0.08199851723240718,Cluster2,Baja
SM3-5071__0__20170612_202000.wav,0.8980807662010193,1461.4223740592695,2391.894459332473,4376.240204140867,0.0,0.42182546882127325,44911.53115761427,0.9999460879827295,0.9897380642455784,0.8701341850074676,14.400511675185681,794.3265303175169,0.11787665886026542,-100.3515102931758,-9.457529887029752,40.01821266158314,0.23017445267294348,Cluster2,Baja
